,time,x_r,x_w,u_r,u_w,K_ext,a
201,201.0,47.37946581053144,63.27895182607624,28.94521125326014,57.42139406847532,0.7058048033404895,-0.19360000968777663
202,202.0,44.154787919599585,70.28745774736271,28.448989931914497,48.06288047178271,0.6107074310985157,-0.15869749987002732
203,203.0,45.26486548325044,67.014221842498,33.477596571781426,45.219705783158034,0.695293110031689,-0.015022154606412291
204,204.0,46.70997256558755,63.46784925313388,28.738696543393008,48.34692574897633,0.8285811875517759,0.0937533301694993
205,205.0,39.935489052028615,63.99269595852762,28.586791231171553,45.429628843660595,0.7676813636989345,0.004322348345748614
206,206.0,38.48978301692357,62.18826474590694,24.801402215729087,49.547376942271214,0.687772838537447,-0.015933296798308478
207,207.0,37.28166511228946,64.23279399488366,33.503210009831925,48.011859923776946,0.6702301174514185,-0.02570673174311839
208,208.0,43.48737104958896,64.11830768665993,28.58670206244445,47.52459138859725,0.6691685229350831,-0.18503525867171033
209,209.0,43.11286779040368,63.72142932851414,27.325275338856073,50.770095472948455,0.6586479905529126,-0.20521495669164436
210,210.0,42.328429398300635,65.81720590917764,36.11709738063569,53.55994554621941,0.6582798815316857,-0.1579325376203237
211,211.0,48.37472040053439,68.76987160497474,29.215742838570623,51.367121067149256,0.5402016529617367,-0.384539502233773
212,212.0,50.75719381801123,68.6219353952113,29.210842152647768,49.12161488609252,0.702582229065664,-0.3332825681048082
213,213.0,46.123691662282546,66.97231639302393,33.03550229138976,53.361515514266245,0.6746968307451953,-0.32867451880006837
214,214.0,47.51714331703963,69.1759094178808,33.776146095294976,50.53980600045264,0.6278839718493097,-0.339579819772645
215,215.0,50.44373484259437,68.23170859626802,29.932463704110123,46.9445945012903,0.6822718446275968,-0.12682577374837614
216,216.0,47.19367654821001,65.25642794656375,29.82378957319109,47.48618225558557,0.6476506488828889,-0.2338267239174821
217,217.0,46.64807100344399,64.23201793497608,27.784632535477705,55.52789583626656,0.7636403324210936,-0.09038580167199459
218,218.0,41.166958634680626,69.40555702672121,29.625599781092834,48.81798864627773,0.5653139701246384,-0.20110065307445008
219,219.0,46.01999559312596,67.12886856087546,31.035040372252872,50.053402064732765,0.7680753434164124,-0.11515243590641347
220,220.0,43.01049223532293,66.9225643347749,26.971017419605808,50.76594607154392,0.7377716324613687,-0.112653285537932
221,221.0,39.64313194152456,67.32639585393929,34.360329865566364,52.125114154496224,0.589032331165025,-0.34571022615340513
222,222.0,47.96289792042258,68.47334241196782,28.4386326186006,47.96889866125654,0.627256667969852,-0.30117925749785524
223,223.0,46.73989139155171,66.09117714011121,27.953562196487432,52.12244464642723,0.6950371005668051,-0.15207986939336485
224,224.0,43.47319226411021,67.88798837769649,30.061194154107703,50.682775056495565,0.5690932362087309,-0.32582217993768026
225,225.0,47.530635549178214,67.7239181321287,27.795735118922547,51.86769668543216,0.7541058754992309,-0.37833051717927585
226,226.0,41.879371718668516,68.48002254988788,34.336202930508215,50.715447688556495,0.6622368561744861,-0.3089202183932667
227,227.0,46.707612845956824,68.02656084061293,27.624221953774715,51.09410601462816,0.7012303226034213,-0.2472198276450014
228,228.0,43.021334472387714,68.07875109370556,30.649741433611158,50.36949620273764,0.6288250937653234,-0.3954615772078673
229,229.0,45.6913037020558,67.59363284886479,31.92135512740776,55.71475193532063,0.6830638550033505,-0.2971605232058801
230,230.0,46.20667921259441,71.12492686916256,31.730875866325093,53.83581018889567,0.5851523829565128,-0.33403649683358716
231,231.0,49.75937506004902,71.47113535212168,29.781550909535458,54.388412787094644,0.5718877453485509,-0.3887126887373793
232,232.0,50.768303128628844,72.02343478841954,27.226394211584424,50.907586388555906,0.6241917207452353,-0.31840668933158256
233,233.0,47.44867356066027,69.83552199516933,31.43508786465985,50.67133041604021,0.769386209108005,-0.2799867073876038
234,234.0,43.91109706835666,68.635816439646,23.888851198997664,49.761979468657515,0.6885440451884756,-0.306130811755288
235,235.0,39.32417555079272,67.42937702260397,30.87608051147436,49.1782376280671,0.653102892937377,-0.08211513685051014
236,236.0,43.137635741012446,66.44882644471832,33.97136433299001,45.56968132868022,0.6948765764332373,-0.09479183348654627
237,237.0,46.01795765219447,63.44698713574007,31.221093163045605,53.52432829174866,0.7892282263105332,0.1768633336857353
238,238.0,42.49263706370619,67.62520238308826,28.688185676347047,52.39897949704987,0.7483041913573536,0.11532063347651217
239,239.0,40.30363093583437,68.8071559850329,29.852427796294787,55.831859606261276,0.85298029649847,0.13112420123721696
240,240.0,37.258838695541044,71.7805411418496,33.201769155480335,49.558675612012145,0.8412926135803233,0.2570094595210932
241,241.0,38.513912854448826,68.77181324912868,31.38133844120758,49.75079296512717,0.8775603343695871,0.3411865629310518
242,242.0,36.90492031630129,67.48574755288352,31.443139151428145,51.070132616770465,0.8034897352352378,0.2849846397310502
243,243.0,38.13546735429225,67.80642342069608,33.60437573879111,50.008629093157204,0.7597652609842421,0.12765065071907966
